agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23445,2024,10010000,0,appropriation,29,50,2024-25,"(23445) ..................................... 10,010,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23445|2024|10010000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21764,2024,89000,0,appropriation,30,7,2024-25,"for the 2024-25 school year (21764) ............. 89,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21764|2024|89000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21702,2024,180000000,0,appropriation,30,47,2024-25,"and breakfast programs (21702) ............. 180,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21702|2024|180000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55986,2024,10000000,0,appropriation,31,17,2024-25,"1, 2025 (55986) ............................. 10,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55986|2024|10000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23316,2024,2300000,0,appropriation,31,21,2024-25,"1, 2024 (23316) .............................. 2,300,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23316|2024|2300000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21769,2024,129485000,0,appropriation,31,43,2024-25,"April 1, 2025 (21769) ...................... 129,485,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21769|2024|129485000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21770,2024,86743000,0,appropriation,32,5,2024-25,"April 1, 2025 (21770) ....................... 86,743,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21770|2024|86743000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23384,2024,1900000,0,appropriation,32,12,2024-25,"year expenses (23384) ........................ 1,900,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23384|2024|1900000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21771,2024,922000,0,appropriation,32,16,2024-25,"by the director of the budget (21771) .......... 922,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21771|2024|922000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55964,2024,73000000,0,appropriation,32,22,2024-25,"lic school STEM programs (55964) ............ 73,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55964|2024|73000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23317,2024,2500000,0,appropriation,32,24,2024-25,"to nonpublic school STEM programs (23317) .... 2,500,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23317|2024|2500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55965,2024,1000000,0,appropriation,32,36,2024-25,"funds appropriated herein (55965) ............ 1,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55965|2024|1000000
