agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
STATE BOARD OF ELECTIONS,STATE OPERATIONS,special revenue funds - federal,Help America Vote Act Implementation Account - 25496,23504,2009,1000000,112000,reappropriation,197,40.0,2025-26,"3 Contractual services (51000) ... 1,000,000 ............ (re. $112,000)",STOPS 25-26.pdf,False,,STATE BOARD OF ELECTIONS|23504|2009|1000000|HELP AMERICA VOTE ACT IMPLEMENTATION ACCOUNT - 25496
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Other,Federal Grant Indirect Cost Recovery Account - 21065,81001,2023,9165000,1551000,reappropriation,238,5.0,2025-26,"14 Personal service--regular (50100) ... 9,165,000 ..... (re. $1,551,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|81001|2023|9165000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Other,Federal Grant Indirect Cost Recovery Account - 21065,81001,2011,9382000,49000,reappropriation,238,22.0,2025-26,"25 Personal service--regular (50100) ... 9,382,000 ........ (re. $49,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|81001|2011|9382000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Other,Federal Grant Indirect Cost Recovery Account - 21065,24780,2024,4742000,2668000,reappropriation,238,35.0,2025-26,"41 Personal service (50000) ... 4,742,000 .............. (re. $2,668,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24780|2024|4742000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Other,Federal Grant Indirect Cost Recovery Account - 21065,24780,2023,4742000,1521000,reappropriation,239,45.0,2025-26,"4 Personal service (50000) ... 4,742,000 .............. (re. $1,521,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24780|2023|4742000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Other,Federal Grant Indirect Cost Recovery Account - 21065,24780,2022,4742000,637000,reappropriation,239,7.0,2025-26,"13 Personal service (50000) ... 4,742,000 ................ (re. $637,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24780|2022|4742000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Other,Federal Grant Indirect Cost Recovery Account - 21065,24780,2021,4742000,1103000,reappropriation,239,17.0,2025-26,"21 Personal service (50000) ... 4,742,000 .............. (re. $1,103,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24780|2021|4742000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Other,Federal Grant Indirect Cost Recovery Account - 21065,24780,2020,4742000,945000,reappropriation,239,24.0,2025-26,"28 Personal service (50000) ... 4,742,000 ................ (re. $945,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24780|2020|4742000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Other,Federal Grant Indirect Cost Recovery Account - 21065,24780,2019,4742000,922000,reappropriation,239,31.0,2025-26,"35 Personal service (50000) ... 4,742,000 ................ (re. $922,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24780|2019|4742000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Other,Federal Grant Indirect Cost Recovery Account - 21065,24780,2018,4742000,1760000,reappropriation,239,38.0,2025-26,"42 Personal service (50000) ... 4,742,000 .............. (re. $1,760,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24780|2018|4742000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Grant Indirect Cost Recovery Account - 21065,24780,2017,4629000,301000,reappropriation,240,45.0,2025-26,"4 Personal service (50000) ... 4,629,000 ................ (re. $301,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24780|2017|4629000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Grant Indirect Cost Recovery Account - 21065,24780,2016,4782000,480000,reappropriation,240,7.0,2025-26,"11 Personal service (50000) ... 4,782,000 ................ (re. $480,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24780|2016|4782000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Grant Indirect Cost Recovery Account - 21065,24780,2015,4455000,7000,reappropriation,240,14.0,2025-26,"18 Personal service (50000) ... 4,455,000 .................. (re. $7,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24780|2015|4455000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Grant Indirect Cost Recovery Account - 21065,24782,2024,3695000,3695000,reappropriation,240,25.0,2025-26,"29 Personal service (50000) ... 3,695,000 .............. (re. $3,695,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24782|2024|3695000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Grant Indirect Cost Recovery Account - 21065,24782,2023,3695000,2609000,reappropriation,240,32.0,2025-26,"38 Personal service (50000) ... 3,695,000 .............. (re. $2,609,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24782|2023|3695000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Grant Indirect Cost Recovery Account - 21065,24782,2022,3695000,3695000,reappropriation,240,42.0,2025-26,"46 Personal service (50000) ... 3,695,000 .............. (re. $3,695,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24782|2022|3695000|FEDERAL GRANT INDIRECT COST RECOVERY ACCOUNT - 21065
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24782,2021,2295000,1811000,reappropriation,241,3.0,2025-26,"7 Personal service (50000) ... 2,295,000 .............. (re. $1,811,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24782|2021|2295000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24782,2020,2295000,1571000,reappropriation,241,10.0,2025-26,"14 Personal service (50000) ... 2,295,000 .............. (re. $1,571,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24782|2020|2295000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24782,2019,2295000,146000,reappropriation,241,17.0,2025-26,"21 Personal service (50000) ... 2,295,000 ................ (re. $146,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24782|2019|2295000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2024,7887000,7635000,reappropriation,241,27.0,2025-26,"33 Personal service (50000) ... 7,887,000 .............. (re. $7,635,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2024|7887000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2023,7333000,1048000,reappropriation,241,37.0,2025-26,"43 Personal service (50000) ... 7,333,000 .............. (re. $1,048,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2023|7333000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2022,8523000,1597000,reappropriation,242,1.0,2025-26,"7 Personal service (50000) ... 8,523,000 .............. (re. $1,597,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2022|8523000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2021,8654000,1226000,reappropriation,242,11.0,2025-26,"17 Personal service (50000) ... 8,654,000 .............. (re. $1,226,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2021|8654000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2020,9581000,1721000,reappropriation,242,21.0,2025-26,"27 Personal service (50000) ... 9,581,000 .............. (re. $1,721,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2020|9581000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2019,9549000,392000,reappropriation,242,32.0,2025-26,"38 Personal service (50000) ... 9,549,000 ................ (re. $392,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2019|9549000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2018,10032000,1534000,reappropriation,242,43.0,2025-26,"47 Personal service (50000) ... 10,032,000 ............. (re. $1,534,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2018|10032000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2017,10177000,745000,reappropriation,243,2.0,2025-26,"6 Personal service (50000) ... 10,177,000 ............... (re. $745,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2017|10177000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2016,9630000,1670000,reappropriation,243,9.0,2025-26,"13 Personal service (50000) ... 9,630,000 .............. (re. $1,670,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2016|9630000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2015,9802000,3397000,reappropriation,243,16.0,2025-26,"20 Personal service (50000) ... 9,802,000 .............. (re. $3,397,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2015|9802000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2014,10155000,650000,reappropriation,243,23.0,2025-26,"27 Personal service (50000) ... 10,155,000 ............... (re. $650,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2014|10155000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2013,10155000,2631000,reappropriation,243,30.0,2025-26,"34 Personal service (50000) ... 10,155,000 ............. (re. $2,631,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2013|10155000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation Water Grants Account - 25334,24784,2012,9657000,2801000,reappropriation,243,37.0,2025-26,"42 Personal service (50000) ... 9,657,000 .............. (re. $2,801,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2012|9657000|FEDERAL ENVIRONMENTAL CONSERVATION WATER GRANTS ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Great Lakes Restoration Initiative Account - 25334,24784,2011,9340000,3432000,reappropriation,244,45.0,2025-26,"3 Personal service (50000) ... 9,340,000 .............. (re. $3,432,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2011|9340000|GREAT LAKES RESTORATION INITIATIVE ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Great Lakes Restoration Initiative Account - 25334,24784,2010,5191000,1314000,reappropriation,244,6.0,2025-26,"9 Nonpersonal service (57050) ... 5,191,000 ........... (re. $1,314,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24784|2010|5191000|GREAT LAKES RESTORATION INITIATIVE ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Great Lakes Restoration Initiative Account - 25334,24896,2010,59000000,45184000,reappropriation,244,14.0,2025-26,"17 ... 59,000,000 ................................... (re. $45,184,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24896|2010|59000000|GREAT LAKES RESTORATION INITIATIVE ACCOUNT - 25334
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,General Fund,State Purposes Account - 10050,62033,2023,19620000,9629000,reappropriation,245,41.0,2025-26,"7 Personal service--regular (50100) ... 19,620,000 .... (re. $9,629,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|62033|2023|19620000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,General Fund,State Purposes Account - 10050,24794,2024,4006000,2873000,reappropriation,245,18.0,2025-26,"39 Personal service--regular (50100) ... 4,006,000 ..... (re. $2,873,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24794|2024|4006000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,State Purposes Account - 10050,25689,2017,2500000,2500000,reappropriation,246,2.0,2025-26,"18 Contractual services (51000) ... 2,500,000 .......... (re. $2,500,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|25689|2017|2500000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,State Purposes Account - 10050,25689,2016,2500000,2500000,reappropriation,246,19.0,2025-26,"35 Contractual services (51000) ... 2,500,000 .......... (re. $2,500,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|25689|2016|2500000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,State Purposes Account - 10050,24717,2024,9898000,7516000,reappropriation,246,40.0,2025-26,"47 Personal service (50000) ... 9,898,000 .............. (re. $7,516,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24717|2024|9898000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,State Purposes Account - 10050,24717,2023,9898000,717000,reappropriation,247,3.0,2025-26,"10 Personal service (50000) ... 9,898,000 ................ (re. $717,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24717|2023|9898000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,State Purposes Account - 10050,24717,2021,9898000,2214000,reappropriation,247,26.0,2025-26,"32 Personal service (50000) ... 9,898,000 .............. (re. $2,214,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24717|2021|9898000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,State Purposes Account - 10050,24717,2020,9898000,486000,reappropriation,247,35.0,2025-26,"40 Personal service (50000) ... 9,898,000 ................ (re. $486,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24717|2020|9898000|STATE PURPOSES ACCOUNT - 10050
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation USDA Account - 25007,24717,2019,9898000,872000,reappropriation,248,43.0,2025-26,"1 Personal service (50000) ... 9,898,000 ................ (re. $872,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24717|2019|9898000|FEDERAL ENVIRONMENTAL CONSERVATION USDA ACCOUNT - 25007
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation USDA Account - 25007,24717,2018,10423000,2771000,reappropriation,248,4.0,2025-26,"11 Personal service (50000) ... 10,423,000 ............. (re. $2,771,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24717|2018|10423000|FEDERAL ENVIRONMENTAL CONSERVATION USDA ACCOUNT - 25007
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation USDA Account - 25007,24717,2017,10423000,1379000,reappropriation,248,16.0,2025-26,"21 Personal service (50000) ... 10,423,000 ............. (re. $1,379,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24717|2017|10423000|FEDERAL ENVIRONMENTAL CONSERVATION USDA ACCOUNT - 25007
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Environmental Conservation USDA Account - 25007,24717,2016,10577000,1425000,reappropriation,248,24.0,2025-26,"29 Personal service (50000) ... 10,577,000 ............. (re. $1,425,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24717|2016|10577000|FEDERAL ENVIRONMENTAL CONSERVATION USDA ACCOUNT - 25007
